Data_Field_EN_Champ_de_la_donnée,Data_Field_FR_Champ_de_la_donnée,Data_Value_Valeur_de_la_donnée,Value_Description_EN_Description_de_la_valeur,Value_Description_FR_Description_de_la_valeur
Compound, Composé,HCB,Hexachlorocyclobenzene,Hexachlorocyclobenzčne
Compound, Composé,PeCB,Pentachlorocyclohexane,Pentachlorocyclohexane
Compound, Composé,L3,octamethyltrisiloxane,Octaméthyltrisiloxane
Compound, Composé,D3 ,hexamethylcyclotrisiloxane,Hexaméthylcyclotrisiloxane
Compound, Composé,D4 ,octamethylcyclotetrasiloxane,Octaméthylcyclotétrasiloxane
Compound, Composé,L4 ,decamethyltetrasiloxane,Décaméthyltétrasiloxane
Compound, Composé,D5 ,decamethylcyclopentasiloxane,Décaméthylcyclopentasiloxane
Compound, Composé,L5 ,dodecamethylpentasiloxane,Dodécaméthylpentasiloxane
Compound, Composé,D6 ,dodecamethylcyclohexasiloxane,Dodécaméthylcyclohexasiloxane
Compound, Composé,6:2 FTA,6:2 Fluorotelomer acrylate,"6:2 FTAC ou acrylate de 3,3,4,4,5,5,6,6,7,7,8,8,8-tridécafluorooctyle"
Compound, Composé,6:2 FTOH,2-perfluorohexyl-ethanol,2-Perfluorohexyléthanol
Compound, Composé,8:2 FTA,8:2 Fluorotelomer acrylate,"8:2 FTAC ou acrylate de 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadécafluorodécyle"
Compound, Composé,8:2 FTOH,2-perfluorooctyl-ethanol,2-Perfluorooctyléthanol
Compound, Composé,10:2 FTA,10:2 Fluorotelomer acrylate,"10:2 FTAC ou acrylate de 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-hénicosafluorododécyle"
Compound, Composé,10:2 FTOH,2-perfluorodecyl-ethanol,2-Perfluorodécyléthanol
Compound, Composé,Et FOSA,N-ethyl-perfluorooctane sulfonamide,N-Éthyl-perfluorooctanesulfonamide
Compound, Composé,Me FOSA,N-methyl-perfluorooctane sulfonamide,N-Méthyl-perfluorooctanesulfonamide
Compound, Composé,Me FOSE,N-methyl-perfluorooctane sulfonamido ethanol,N-Méthyl-N-(2-hydroxyéthyl)perfluorooctanesulfonamide
Compound, Composé,Et FOSE ,N-ethyl-perfluorooctane sulfonamido ethanol,N-Éthyl-N-(2-hydroxyéthyl)perfluorooctanesulfonamide
Compound, Composé,PFBS,Perflurobutane sulfonic acid,Acide perfluorobutanesulfonique
Compound, Composé,PFHxS,Perflurohexane sulfonic acid,Acide perfluorohexanesulfonique
Compound, Composé,PFOS,Perflurooctane sulfonic acid,Acide perflurooctanesulfonique
Compound, Composé,PFDS,Perflurodecane sulfonic acid,Acide perflurodécanesulfonique
Category, Catégorie,HCB&PeCB,Hexachlorocyclobenzene and Pentachlorocyclohexane,Hexachlorocyclobenzčne et pentachlorocyclohexane
Category, Catégorie,Siloxanes,Siloxanes,Siloxanes
Category, Catégorie,Neutral PFAS,Neutral  perfluoroalkyl acids,Acides perfluoroalkyliques neutres
Category, Catégorie,Ionizable PFAS,Ionizable perfluoroalkyl acids,Acides perfluoroalkyliques ionisables
2012to13,2012to13,n.d.,no data, Aucune donnée
2014to15,2014to15,n.d.,no data, Aucune donnée
2015to16,2015to16,n.d.,no data, Aucune donnée
Units, Unité,picogram/meter cubed,picogram/meter cubed,picogramme/mčtre cube
Units, Unité,nanograms/meter cubed,nanograms/meter cubed,nanogramme/mčtre cube
