License Type	Licensee Name	PRE ARRANGED FUNERAL PLAN SALES 	Address	City	Province	Postal Code	Location Geocode
Funeral Home	MACASKILL FUNERAL HOME	No	43 Grant ST.	BADDECK	NS	B0E 1B0	"43 Grant ST.
BADDECK, NS B0E 1B0
(46.09976, -60.75671)"
Funeral Home	MIDDLETON FUNERAL HOME	Trust & Insurance Funded Plans	398 MAIN ST.	MIDDLETON	NS	B0S 1P0	"398 MAIN ST.
MIDDLETON, NS B0S 1P0
(44.94463, -65.06448)"
Funeral Home	WHITE FAMILY FUNERAL HOME	Trust Funded Only	100 BRIDGE ST.	KENTVILLE	NS	B4N 2E4	"100 BRIDGE ST.
KENTVILLE, NS B4N 2E4
(45.07912, -64.49487)"
Funeral Home	A.H. BROWN FUNERAL SERVICES	Trust & Insurance Funded Plans	5 MCFARLANE ST.	SPRINGHILL	NS	B0M 1X0	"5 MCFARLANE ST.
SPRINGHILL, NS B0M 1X0
(45.64745, -64.05968)"
Funeral Home & Crematorium	SWEENY'S FUNERAL HOME AND CREMATORIUM LTD.	Insurance Funded Only	567 MAIN ST.	YARMOUTH	NS	B5A 1J6	"567 MAIN ST.
YARMOUTH, NS B5A 1J6
(43.8474, -66.11531)"
Funeral Home	ATLANTIC FUNERAL HOME (OAKRIDGE)	Trust & Insurance Funded Plans	1110 OLD SACKVILLE ROAD	MIDDLE SACKVILLE	NS	B4E 3A6	"1110 OLD SACKVILLE ROAD
MIDDLE SACKVILLE, NS B4E 3A6
(44.78071, -63.71416)"
Funeral Home	C.L. CURRY FUNERAL SERVICES LIMITED	Trust & Insurance Funded Plans	135 COLLEGE ST.	ANTIGONISH	NS	B2G 1X9	"135 COLLEGE ST.
ANTIGONISH, NS B2G 1X9
(45.62534, -61.99294)"
Funeral Home	JAYNE'S FUNERAL HOME	Trust & Insurance Funded Plans	5114 HIGHWAY 1 HWY.	WEYMOUTH NORTH	NS	B0W 3T0	"5114 HIGHWAY 1 HWY.
WEYMOUTH NORTH, NS B0W 3T0
(44.43289, -65.9943)"
Crematorium	H.M. HUSKILSON'S FUNERAL HOMES AND CREMATORIUM LIM	No	69 BROOKLYN RD.	BROOKLYN	NS	B0S 1P0	"69 BROOKLYN RD.
BROOKLYN, NS B0S 1P0
(43.86576, -66.08008)"
Funeral Home	DAVIS FUNERAL HOME	Trust Funded Only	256 PIG LOOP RD.	CHESTER	NS	B0J 1J0	"256 PIG LOOP RD.
CHESTER, NS B0J 1J0
(44.54209, -64.23817)"
Funeral Home	FILLMORE & WHITMAN FUNERAL HOME	Trust & Insurance Funded Plans	36205 CABOT TRAIL	INGONISH	NS	B0C 1K0	"36205 CABOT TRAIL
INGONISH, NS B0C 1K0
(46.69133, -60.37965)"
Funeral Home	DEMONT FAMILY FUNERAL HOME & CREMATION SERVICE	Trust & Insurance Funded Plans	419 ALBERT ST.	WINDSOR	NS	B0N 2T0	"419 ALBERT ST.
WINDSOR, NS B0N 2T0
(44.99063, -64.1345)"
Funeral Home	J. WILSON ALLEN FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	4646 HIGHWAY 215 HWY.	SUMMERVILLE	NS	B0N 2K0	"4646 HIGHWAY 215 HWY.
SUMMERVILLE, NS B0N 2K0
(45.09611, -64.15989)"
Funeral Home	CHANDLERS' FUNERAL HOME	Trust & Insurance Funded Plans	91 UNION ST.	LIVERPOOL	NS	B0T 1K0	"91 UNION ST.
LIVERPOOL, NS B0T 1K0
(44.03375, -64.7021)"
Funeral Home	D. S. CROWELL & SON FUNERAL HOME LIMITED	Trust Funded Only	22558 HIGHWAY 7 HWY.	SHEET HARBOUR	NS	B0J 3B0	"22558 HIGHWAY 7 HWY.
SHEET HARBOUR, NS B0J 3B0
(44.92303, -62.5367)"
Funeral Home	H.W.ANGUS FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	256 KING ST.	NEW GLASGOW	NS	B2H 4X8	"256 KING ST.
NEW GLASGOW, NS B2H 4X8
(45.58134, -62.64383)"
Funeral Home	TJ TRACEY CREMATION AND BURIAL SPECIALISTS	At Need Sales Only	6 CHURCHILL DR.	SYDNEY	NS	B1S 0M5	"6 CHURCHILL DR.
SYDNEY, NS B1S 0M5
(46.12305, -60.20137)"
Funeral Home & Crematorium	JONES FAMILY FUNERAL CENTER	Trust & Insurance Funded Plans	70 CHURCH ST.	AMHERST	NS	B4H 3B2	"70 CHURCH ST.
AMHERST, NS B4H 3B2
(45.8321, -64.21003)"
Cemetery	PLEASANT HILL CEMETERY	Cemetery Lots Only	593 SACKVILLE  DR.	SACKVILLE	NS	B4C2S4	"593 SACKVILLE  DR.
SACKVILLE, NS B4C2S4
(44.76811, -63.68532)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	26 CENTENNIAL ST.	ST. PETER'S	NS	B0E 3B0	"26 CENTENNIAL ST.
ST. PETER'S, NS B0E 3B0
(45.65791, -60.87762)"
Funeral Home	SMITH'S FUNERAL HOME	Trust Funded Only	403 MAIN ST.	PARRSBORO	NS	B0M 1S0	"403 MAIN ST.
PARRSBORO, NS B0M 1S0
(45.38179, -64.25448)"
Funeral Home & Crematorium	MACDIARMID'S FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	5075  MAIN ST.	OXFORD	NS	B0M 1P0	"5075  MAIN ST.
OXFORD, NS B0M 1P0
(45.73364, -63.87083)"
Crematorium	SYDNEY CREMATORIUM	Trust & Insurance Funded Plans	400 GEORGE ST.	SYDNEY	NS	B1P 1K3	"400 GEORGE ST.
SYDNEY, NS B1P 1K3
(46.13827, -60.19256)"
Funeral Home	A.L. MATTATALL FUNERAL HOME	Trust & Insurance Funded Plans	217 PORTLAND ST.	DARTMOUTH	NS	B2Y 1J5	"217 PORTLAND ST.
DARTMOUTH, NS B2Y 1J5
(44.66805, -63.56138)"
Funeral Home	PATTEN FUNERAL HOME	Trust & Insurance Funded Plans	69 UNION ST.	GLACE BAY	NS	B1A 2P6	"69 UNION ST.
GLACE BAY, NS B1A 2P6
(46.19537, -59.95879)"
Funeral Home	ATLANTIC FUNERAL HOME (HALIFAX)	Trust & Insurance Funded Plans	6552 BAYERS RD.	HALIFAX	NS	B3L 2B3	"6552 BAYERS RD.
HALIFAX, NS B3L 2B3
(44.65254, -63.61361)"
Crematorium	SOUTH SHORE CREMATORIUM AND REMOVAL SERVICES LIMIT	No	20 COOK RD.	BRIDGEWATER	NS	B4V 3W7	"20 COOK RD.
BRIDGEWATER, NS B4V 3W7
(44.38713, -64.53429)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	121 SCHOOL ST.	CANSO	NS	B0H 1H0	"121 SCHOOL ST.
CANSO, NS B0H 1H0
(45.33538, -60.99551)"
Crematorium & Cemetery	FOREST HAVEN MEMORIAL GARDENS (2005)	Trust Funded Plans & Lots	1510 GRAND LAKE RD.	SYDNEY	NS	B1M 1A1	"1510 GRAND LAKE RD.
SYDNEY, NS B1M 1A1
(46.17443, -60.07271)"
Funeral Home	MUNDLE'S FUNERAL HOME	Trust & Insurance Funded Plans	10235 DURHAM ST.	PUGWASH	NS	B0K 1L0	"10235 DURHAM ST.
PUGWASH, NS B0K 1L0
(45.85003, -63.66055)"
Funeral Home	DANA L. SWEENY FUNERAL HOME (1988) LIMITED	Trust Funded Only	11213 HIGHWAY 3 HWY.	CENTRE	NS	B0J 2C0	"11213 HIGHWAY 3 HWY.
CENTRE, NS B0J 2C0
(44.37719, -64.33801)"
Funeral Home	EASTERN PASSAGE COMMUNITY FUNERAL HOME	Trust Funded Only	5 COW BAY RD.	EASTERN PASSAGE	NS	B3G  1A2	"5 COW BAY RD.
EASTERN PASSAGE, NS B3G  1A2
(44.61184, -63.49358)"
Funeral Home	T.W. CURRY PARKVIEW CHAPEL	Trust & Insurance Funded Plans	755 GEORGE ST.	SYDNEY	NS	B1P 1L4	"755 GEORGE ST.
SYDNEY, NS B1P 1L4
(46.13206, -60.18874)"
Funeral Home	MATTATALL - VARNER FUNERAL HOME	Trust & Insurance Funded Plans	55 YOUNG ST.	TRURO	NS	B2N 3W6	"55 YOUNG ST.
TRURO, NS B2N 3W6
(45.36272, -63.27868)"
Funeral Home	V.J. MCGILLIVRAY FUNERAL HOMES	Trust & Insurance Funded Plans	380 SMITH ST.	NEW WATERFORD	NS	B1H 3R2	"380 SMITH ST.
NEW WATERFORD, NS B1H 3R2
(46.25073, -60.08605)"
Funeral Home	C.H.BOUDREAU FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	633 VETERANS MEMORIAL DR.	ARICHAT	NS	B0E 1A0	"633 VETERANS MEMORIAL DR.
ARICHAT, NS B0E 1A0
(45.51088, -61.01731)"
Funeral Home	J.A. SNOW FUNERAL HOME	Trust & Insurance Funded Plans	339 LACEWOOD DR.	HALIFAX	NS	B3S 0E1	"339 LACEWOOD DR.
HALIFAX, NS B3S 0E1
(44.65945, -63.66744)"
Cemetery	PIER COMMUNITY FUNERAL HOME	Cemetery Lots	1092 VICTORIA RD.	SYDNEY	NS	B1N 1L2	"1092 VICTORIA RD.
SYDNEY, NS B1N 1L2
(46.16164, -60.18713)"
Funeral Home	V.J. MCGILLIVRAY FUNERAL HOMES	Trust & Insurance Funded Plans	16 RESERVE ST.	GLACE BAY	NS	B1A 4V8	"16 RESERVE ST.
GLACE BAY, NS B1A 4V8
(46.19323, -59.96395)"
Crematorium	CHANDLERS' FUNERAL HOME	No	81 HARLEY UMPHREY DR.	LIVERPOOL	NS	B0T 1K0	"81 HARLEY UMPHREY DR.
LIVERPOOL, NS B0T 1K0
(44.02641, -64.71917)"
Funeral Home	GREEN'S FUNERAL HOME	Trust Funded Only	507 BERNARD ST.	PORT HAWKESBURY	NS	B9A 2V2	"507 BERNARD ST.
PORT HAWKESBURY, NS B9A 2V2
(45.61369, -61.35917)"
Funeral Home	P. & K. MACDONALD FUNERAL HOME LIMITED	Trust Funded Only	536 MERIGOMISH RD.	NEW GLASGOW	NS	B2H 4T2	"536 MERIGOMISH RD.
NEW GLASGOW, NS B2H 4T2
(45.58324, -62.63321)"
Funeral Home	ARIMATHEA FUNERAL CO-OPERATIVE LIMITED	At Need Sales Only	8741 HIGHWAY 224 HWY.	UPPER MUSQUODOBOIT	NS	B0N 2M0	"8741 HIGHWAY 224 HWY.
UPPER MUSQUODOBOIT, NS B0N 2M0
(45.12885, -62.96118)"
Funeral Home & Crematorium	EAST COAST CREMATIONS AND FUNERAL CONSULTING LIMIT	Insurance Funded Only	34 COLDBROOK VILLAGE PARK DR.	COLDBROOK	NS	B4R 1B9	"34 COLDBROOK VILLAGE PARK DR.
COLDBROOK, NS B4R 1B9
(45.07017, -64.56031)"
Funeral Home	ETTINGER FUNERAL HOME	Insurance Funded Only	2812 HIGHWAY 2 HWY.	SHUBENACADIE	NS	B0N 2H0	"2812 HIGHWAY 2 HWY.
SHUBENACADIE, NS B0N 2H0
(45.08614, -63.40856)"
Funeral Home	H.M. HUSKILSON'S FUNERAL HOMES AND CREMATORIUM LIM	Trust & Insurance Funded Plans	29 ALBERT ST.	YARMOUTH	NS	B5A 3N1	"29 ALBERT ST.
YARMOUTH, NS B5A 3N1
(43.83123, -66.11736)"
Funeral Home & Crematorium	MARITIME CREMATION CENTER	Trust and Insurance Funded Plans	67 TEMPLE TERRACE	LOWER SACKVILLE	NS	B4C 0A7	"67 TEMPLE TERRACE
LOWER SACKVILLE, NS B4C 0A7
(44.75916, -63.65095)"
Funeral Home & Crematorium	COLE HARBOUR FUNERAL HOME & CREMATORIUM	Trust & Insurance Funded Plans	1234 COLE HARBOUR RD	COLE HARBOUR	NS	B2V 1N2	"1234 COLE HARBOUR RD
COLE HARBOUR, NS B2V 1N2
(44.67214, -63.47894)"
Funeral Home & Crematorium	DARTMOUTH FUNERAL HOME	Trust Funded Only	29 QUEEN ST.	DARTMOUTH	NS	B2Y 1E9	"29 QUEEN ST.
DARTMOUTH, NS B2Y 1E9
(44.66572, -63.56796)"
Funeral Home	H.M. HUSKILSON'S FUNERAL HOMES AND CREMATORIUM LIM	Trust & Insurance Funded Plans	58 BULKLEY ST.	SHELBURNE	NS	B0T 1W0	"58 BULKLEY ST.
SHELBURNE, NS B0T 1W0
(43.76617, -65.31931)"
Funeral Home	KAULBACH FAMILY FUNERAL HOME AND CREMATION SERVICE	Trust & Insurance Funded Plans	385 GRANVILLE ST.	BRIDGETOWN	NS	B0S 1C0	"385 GRANVILLE ST.
BRIDGETOWN, NS B0S 1C0
(44.84176, -65.28394)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	724 GRANVILLE ST.	PORT HAWKESBURY	NS	B9A 2N8	"724 GRANVILLE ST.
PORT HAWKESBURY, NS B9A 2N8
(45.60965, -61.3523)"
Funeral Home	O. G. EAGLES FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	1611 NORTH MAIN ST.	WESTVILLE	NS	B0K 2A0	"1611 NORTH MAIN ST.
WESTVILLE, NS B0K 2A0
(45.5651, -62.70712)"
Crematorium	CENTRAL NOVA DIRECTOR SERVICES LTD.	No	319 MOUNT WILLIAM RD.	MOUNT WILLIAM	NS	B2H 5C6	"319 MOUNT WILLIAM RD.
MOUNT WILLIAM, NS B2H 5C6
(45.58949, -62.7266)"
Funeral Home & Crematorium	J.M. JOBES FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	635 MAIN ST.	SYDNEY MINES	NS	B1V 2L1	"635 MAIN ST.
SYDNEY MINES, NS B1V 2L1
(46.23984, -60.22361)"
Funeral Home	INVERNESS FUNERAL HOME	Trust & Insurance Funded Plans	45 MACISAAC ST.	INVERNESS	NS	B0E 1N0	"45 MACISAAC ST.
INVERNESS, NS B0E 1N0
(46.22947, -61.30349)"
Cemetery	SUNRISE PARK INTER-FAITH CEMETERY LTD	Cemetery Lots Only	2025 PROSPECT  RD.	HATCHET LAKE	NS	B3T1R9	"2025 PROSPECT  RD.
HATCHET LAKE, NS B3T1R9
(44.56912, -63.72386)"
Funeral Home	R.A. CORKUM FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	2719 HIGHWAY 325 HWY.	WILEVILLE	NS	B4V 5G9	"2719 HIGHWAY 325 HWY.
WILEVILLE, NS B4V 5G9
(44.37249, -64.53629)"
Funeral Home & Crematorium	PIER COMMUNITY FUNERAL HOME	Insurance Funded Only	1092 VICTORIA RD.	SYDNEY	NS	B1N 1L2	"1092 VICTORIA RD.
SYDNEY, NS B1N 1L2
(46.16164, -60.18713)"
Funeral Home	C.F.SWEENY'S FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	4895 HIGHWAY 10 HWY.	NEW GERMANY	NS	B0R 1E0	"4895 HIGHWAY 10 HWY.
NEW GERMANY, NS B0R 1E0
(44.53729, -64.7086)"
Funeral Home	G.W. GIFFIN FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	17545 HIGHWAY 316 HWY.	CROSS ROADS COUNTRY HARBOUR	NS	B0H 1J0	"17545 HIGHWAY 316 HWY.
CROSS ROADS COUNTRY HARBOUR, NS B0H 1J0
(45.26858, -61.87144)"
Funeral Home	W ALLEN FUNERAL HOME	Trust & Insurance Funded Plans	60 WATER ST.	OXFORD	NS	B0M 1P0	"60 WATER ST.
OXFORD, NS B0M 1P0
(45.73539, -63.86572)"
Funeral Home	T. K. BARNARD FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	85 SACKVILLE CROSS RD.	LOWER SACKVILLE	NS	B4C 2M2	"85 SACKVILLE CROSS RD.
LOWER SACKVILLE, NS B4C 2M2
(44.76459, -63.68725)"
Funeral Home	MCLAREN FUNERAL HOME	Trust & Insurance Funded Plans	246 FAULKLAND ST.	PICTOU	NS	B0K 1H0	"246 FAULKLAND ST.
PICTOU, NS B0K 1H0
(45.67845, -62.71423)"
Funeral Home	ATLANTIC FUNERAL HOME (DARTMOUTH)	Trust & Insurance Funded Plans	771 MAIN ST.	DARTMOUTH	NS	B2W3T9	"771 MAIN ST.
DARTMOUTH, NS B2W3T9
(44.69831, -63.49092)"
Funeral Home	R. H. PORTER FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	55 ALMONT AVE.	NEW GLASGOW	NS	B2H 3G5	"55 ALMONT AVE.
NEW GLASGOW, NS B2H 3G5
(45.59014, -62.64037)"
Funeral Home	ETTINGER FUNERAL HOME	Insurance Funded Only	860 HIGHWAY 2 HWY.	ELMSDALE	NS	B2S 1M1	"860 HIGHWAY 2 HWY.
ELMSDALE, NS B2S 1M1
(44.97235, -63.49954)"
Crematorium	HARBOURSIDE REGIONAL CREMATORIUM	Trust & Insurance Funded Plans	2632 KING ST.	HALIFAX	NS	B3K 4T8	"2632 KING ST.
HALIFAX, NS B3K 4T8
(44.65464, -63.59618)"
Funeral Home	MAHONE FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	32 PARISH ST.	MAHONE BAY	NS	B0J 2E0	"32 PARISH ST.
MAHONE BAY, NS B0J 2E0
(44.45024, -64.3815)"
Funeral Home	COULTER'S FUNERAL HOME	Trust & Insurance Funded Plans	48 RIVERSIDE DR.	TATAMAGOUCHE	NS	B0K 1V0	"48 RIVERSIDE DR.
TATAMAGOUCHE, NS B0K 1V0
(45.71256, -63.28938)"
Funeral Home & Crematorium	TJ TRACEY CREMATION AND BURIAL SPECIALISTS	At Need Sales Only	370 RESERVE ST.	GLACE BAY	NS	B1A 4X2	"370 RESERVE ST.
GLACE BAY, NS B1A 4X2
(46.18862, -59.99825)"
Funeral Home	J. ALBERT WALKER FUNERAL HOME (2005) LIMITED	Trust & Insurance Funded Plans	149 HERRING COVE RD.	HALIFAX	NS	B3P 1K6	"149 HERRING COVE RD.
HALIFAX, NS B3P 1K6
(44.6279, -63.61646)"
Funeral Home	MCLELLAN BROTHERS FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	3188 PLUMMER AVE.	NEW WATERFORD	NS	B1H 4W4	"3188 PLUMMER AVE.
NEW WATERFORD, NS B1H 4W4
(46.24742, -60.07961)"
Funeral Home	COLCHESTER COMMUNITY FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	512 WILLOW ST.	TRURO	NS	B2N 6X8	"512 WILLOW ST.
TRURO, NS B2N 6X8
(45.34553, -63.2937)"
Funeral Home	EAST COAST CREMATIONS AND FUNERAL CONSULTING LIMIT	Insurance Funded Only	186 WATER ST.	WINDSOR	NS	B0N 2T0	"186 WATER ST.
WINDSOR, NS B0N 2T0
(44.99374, -64.14019)"
Funeral Home	CAMPBELL'S FUNERAL HOME	Trust & Insurance Funded Plans	98 CHURCH ST.	AMHERST	NS	B4H 3B4	"98 CHURCH ST.
AMHERST, NS B4H 3B4
(45.83103, -64.20759)"
Cemetery	OAKRIDGE MEMORIAL GARDENS	Trust Funded Plans and Lots	1078 OLD SACKVILLE RD.	SACKVILLE	NS	B4E 3A6	"1078 OLD SACKVILLE RD.
SACKVILLE, NS B4E 3A6
(44.78015, -63.71413)"
Funeral Home	H.M. HUSKILSON'S FUNERAL HOMES AND CREMATORIUM LIM	Trust & Insurance Funded Plans	2821 HIGHWAY 3 HWY.	BRASS HILL	NS	B0W 1E0	"2821 HIGHWAY 3 HWY.
BRASS HILL, NS B0W 1E0
(43.5566, -65.59789)"
Funeral Home	W.J. DOOLEY FUNERAL HOME	Trust & Insurance Funded Plans	107 PLEASANT ST.	NORTH SYDNEY	NS	B2A 1L9	"107 PLEASANT ST.
NORTH SYDNEY, NS B2A 1L9
(46.21152, -60.24964)"
Funeral Home	SUNSET FUNERAL CO-OPERATIVE LIMITED	Trust Funded Only	65 CROWDIS CROSS RD.	MARGAREE VALLEY	NS	B0E 2C0	"65 CROWDIS CROSS RD.
MARGAREE VALLEY, NS B0E 2C0
(46.34469, -60.95391)"
Funeral Home	G.W. GIFFIN FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	34 MAIN ST.	SHERBROOKE	NS	B0J 3C0	"34 MAIN ST.
SHERBROOKE, NS B0J 3C0
(45.07394, -61.84629)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	54 QUEEN ST.	GUYSBOROUGH	NS	B0H 1N0	"54 QUEEN ST.
GUYSBOROUGH, NS B0H 1N0
(45.38989, -61.50094)"
Funeral Home	JAYNE'S FUNERAL HOME	Trust & Insurance Funded Plans	7 BIRCH ST.	DIGBY	NS	B0V 1A0	"7 BIRCH ST.
DIGBY, NS B0V 1A0
(44.63104, -65.76649)"
Cemetery	DARTMOUTH MEMORIAL GARDENS	Trust Funded Plans and Lots	2 JANE ST	TORONTO	ON	M6S 4W8	"2 JANE ST
TORONTO, ON M6S 4W8
(43.64988, -79.48527)"
Funeral Home	C.F.SWEENY'S FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	35 YORK ST.	BRIDGEWATER	NS	B4V 1P8	"35 YORK ST.
BRIDGEWATER, NS B4V 1P8
(44.37505, -64.51966)"
Funeral Home	PERSONAL CARE CREMATIONS LIMITED	No	2106 HIGHWAY 329 HWY.	THE LODGE	NS	B0J 1T0	"2106 HIGHWAY 329 HWY.
THE LODGE, NS B0J 1T0
(44.55353, -64.02918)"
Funeral Home	KAULBACH FAMILY FUNERAL HOME AND CREMATION SERVICE	Trust & Insurance Funded Plans	190 ST ANTHONY ST.	ANNAPOLIS ROYAL	NS	B0S 1A0	"190 ST ANTHONY ST.
ANNAPOLIS ROYAL, NS B0S 1A0
(44.74497, -65.51684)"
Funeral Home	ROWLINGS FUNERAL HOME	Trust Funded Only	7795 HIGHWAY 7 HWY.	MUSQUODOBOIT HARBOUR	NS	B0J 2L0	"7795 HIGHWAY 7 HWY.
MUSQUODOBOIT HARBOUR, NS B0J 2L0
(44.78355, -63.15286)"
Funeral Home	FILLMORE & WHITMAN FUNERAL HOME	Trust & Insurance Funded Plans	8 CLYDE AVE,	SYDNEY MINES	NS	B1V 2E4	"8 CLYDE AVE,
SYDNEY MINES, NS B1V 2E4
(46.24133, -60.22992)"
Funeral Home	DONALD K. WALKER FUNERAL DIRECTORS LIMITED	At Need Sales Only	11 AKERLEY BLVD.	DARTMOUTH	NS	B3B 1V7	"11 AKERLEY BLVD.
DARTMOUTH, NS B3B 1V7
(44.70585, -63.61017)"
Funeral Home	J. WILSON ALLEN FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	6571 HIGHWAY 354 HWY.	KENNETCOOK	NS	B0N 1P0	"6571 HIGHWAY 354 HWY.
KENNETCOOK, NS B0N 1P0
(45.19425, -63.73235)"
Funeral Home	CRUIKSHANK'S HALIFAX FUNERAL HOME	Trust & Insurance Funded Plans	2666 WINDSOR ST.	HALIFAX	NS	B3K 5C9	"2666 WINDSOR ST.
HALIFAX, NS B3K 5C9
(44.65283, -63.59971)"
Funeral Home	ATLANTIC FUNERAL HOME (SACKVILLE)	Trust & Insurance Funded Plans	125 SACKVILLE DR.	LOWER SACKVILLE	NS	B4C 2R3	"125 SACKVILLE DR.
LOWER SACKVILLE, NS B4C 2R3
(44.75578, -63.66574)"
Funeral Home	R. H. PORTER FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	73 HIGH ST.	TRENTON	NS	B0K 1X0	"73 HIGH ST.
TRENTON, NS B0K 1X0
(45.61122, -62.63262)"
Funeral Home & Crematorium	TJ TRACEY CREMATION AND BURIAL SPECIALISTS	At Need Sales Only	71 MCQUADE LAKE CRES.	HALIFAX	NS	B35 1C4	"71 MCQUADE LAKE CRES.
HALIFAX, NS B35 1C4
(44.64001, -63.66756)"
Crematorium	HALIFAX REGIONAL CREMATORIUM	Trust & Insurance Funded Plans	1078 OLD SACKVILLE RD.	MIDDLE SACKVILLE	NS	B4E 3A6	"1078 OLD SACKVILLE RD.
MIDDLE SACKVILLE, NS B4E 3A6
(44.78015, -63.71413)"
Funeral Home	CHETICAMP FUNERAL SERVICES LIMITED	Trust Funded Only	15678 CABOT TRAIL	CHÉTICAMP	NS	B0E 1H0	"15678 CABOT TRAIL
CHÉTICAMP, NS B0E 1H0
(46.64725, -60.99922)"
Funeral Home	METEGHAN FUNERAL SERVICE LIMITED	Trust and Insurance Funded Plans	8348 HIGHWAY 1 HWY.	METEGHAN	NS	B0W 2J0	"8348 HIGHWAY 1 HWY.
METEGHAN, NS B0W 2J0
(44.19205, -66.15619)"
Funeral Home	MACISAAC FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	61 PLEASANT ST.	ANTIGONISH	NS	B2G 1W6	"61 PLEASANT ST.
ANTIGONISH, NS B2G 1W6
(45.62448, -61.99167)"
Funeral Home & Crematorium	SYDNEY MEMORIAL CHAPEL LIMITED	Trust & Insurance Funded Plans	49 WELTON ST.	SYDNEY	NS	B1P 5R3	"49 WELTON ST.
SYDNEY, NS B1P 5R3
(46.14192, -60.17307)"
Funeral Home	SCOTIA CREMATION CENTRE LIMITED	No	85 SACKVILLE CROSS RD.	LOWER SACKVILLE	NS	B4C 2M2	"85 SACKVILLE CROSS RD.
LOWER SACKVILLE, NS B4C 2M2
(44.76459, -63.68725)"
Funeral Home	WEST PUBNICO FUNERAL HOME & CREMATION SERVICES	Trust Funded Only	1125 HIGHWAY 335 HWY	MIDDLE WEST PUBNICO	NS	B0W 2M0	"1125 HIGHWAY 335 HWY
MIDDLE WEST PUBNICO, NS B0W 2M0
(43.65561, -65.80156)"
