,,,,,,,,
New Table 02,"Occupational distribution of employees in the federal jurisdiction by gender, employer size and industry, December 2015",,,,,,,
Size of the company,"Industry
",Occupation,Number of employees,,,,,
,,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,,SUM,,SUM,,SUM,
All sizes,All industries,All occupations,"554,100",A,"341,000",A,"895,100",A
,,Senior managers,"20,082",B,"5,991",B,"26,073",B
,,Middle and other managers,"49,711",A,"32,148",A,"81,859",A
,,Supervisors,"25,907",B,"21,844",B,"47,750",B
,,Professionals,"83,714",B,"65,710",A,"149,425",A
,,Technical / Trades,"95,283",B,"21,084",B,"116,370",B
,,"Marketing, sales and services","39,211",A,"68,979",A,"108,194",A
,,Clerical / Administrative,"47,609",B,"77,309",A,"124,880",A
,,Truck and bus drivers / Manual labourer with no trade certification,"132,988",A,"12,019",B,"145,001",B
,,Other Occupations,"59,592",C,"35,913",C,"95,502",C
,Air transportation,All occupations,"76,700",C,"29,100",C,"105,800",C
,,Senior managers,"1,921",B,468,B,"2,389",B
,,Middle and other managers,"5,905",D,"1,465",B,"7,369",D
,,Supervisors,"2,869",C,752,C,"3,621",C
,,Professionals,"5,598",C,"3,088",F,"8,685",C
,,Technical / Trades,"13,013",B,"2,391",E,"15,404",B
,,"Marketing, sales and services","1,268",C,"1,542",D,"2,810",C
,,Clerical / Administrative,"12,492",F,"6,541",D,"19,035",F
,,Truck and bus drivers / Manual labourer with no trade certification,"5,847",C,"1,124",C,"6,970",C
,,Other Occupations,"27,789",F,"11,747",E,"39,536",F
,Rail transportation,All occupations,"49,200",E,"11,500",D,"60,700",E
,,Senior managers,X,X,X,X,426,E
,,Middle and other managers,"2,324",E,431,E,"2,756",E
,,Supervisors,"4,040",E,"3,673",E,"7,714",E
,,Professionals,"3,801",E,935,E,"4,735",E
,,Technical / Trades,X,X,X,X,"30,269",E
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,"2,998",E
,,Truck and bus drivers / Manual labourer with no trade certification,"9,317",E,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Road transportation,All occupations,"117,900",A,"21,600",B,"139,400",A
,,Senior managers,"7,676",C,"1,150",F,"8,825",C
,,Middle and other managers,"3,405",C,"1,831",E,"5,235",C
,,Supervisors,"3,186",C,"1,090",C,"4,276",B
,,Professionals,731,D,298,C,"1,028",D
,,Technical / Trades,"6,668",B,196,C,"6,864",B
,,"Marketing, sales and services","1,341",C,642,D,"1,983",C
,,Clerical / Administrative,"5,902",B,"10,663",B,"16,524",B
,,Truck and bus drivers / Manual labourer with no trade certification,"79,691",A,"4,021",B,"83,708",A
,,Other Occupations,"9,263",D,"1,740",E,"11,003",D
,Maritime transportation,All occupations,"12,900",B,"4,100",D,"17,100",C
,,Senior managers,519,B,143,C,661,B
,,Middle and other managers,"1,157",C,424,E,"1,580",C
,,Supervisors,594,B,123,D,715,B
,,Professionals,515,C,240,C,754,C
,,Technical / Trades,"4,208",D,810,F,"5,019",E
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,"1,955",D
,,Truck and bus drivers / Manual labourer with no trade certification,"1,909",B,X,X,X,X
,,Other Occupations,"3,113",D,624,F,"3,737",D
,Postal and pipelines,All occupations,"77,100",D,"48,500",E,"125,500",D
,,Senior managers,"2,248",E,"1,066",E,"3,314",E
,,Middle and other managers,"7,388",E,"3,697",F,"11,084",E
,,Supervisors,"5,928",E,"3,817",F,"9,745",E
,,Professionals,"12,330",E,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",259,C,X,X,X,X
,,Clerical / Administrative,"2,755",D,"6,627",D,"9,382",D
,,Truck and bus drivers / Manual labourer with no trade certification,"26,879",D,"5,157",D,"32,035",D
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,"101,800",A,"151,400",A,"253,400",A
,,Senior managers,"4,226",A,"2,024",A,"6,251",A
,,Middle and other managers,"19,181",A,"17,957",A,"37,140",A
,,Supervisors,"5,199",A,"10,108",A,"15,307",A
,,Professionals,"33,442",A,"33,847",A,"67,291",A
,,Technical / Trades,"2,668",A,"2,584",A,"5,253",A
,,"Marketing, sales and services","18,116",A,"46,806",A,"64,923",A
,,Clerical / Administrative,"18,851",A,"37,868",A,"56,721",A
,,Truck and bus drivers / Manual labourer with no trade certification,0,,X,X,X,X
,,Other Occupations,166,B,X,X,X,X
,"Feed, flour, seed and grain",All occupations,"13,500",C,"4,000",C,"17,500",C
,,Senior managers,467,C,80,B,547,B
,,Middle and other managers,796,C,277,D,"1,073",C
,,Supervisors,"1,059",D,236,D,"1,295",D
,,Professionals,427,D,X,X,X,X
,,Technical / Trades,"1,010",D,X,X,X,X
,,"Marketing, sales and services","1,396",D,696,D,"2,092",D
,,Clerical / Administrative,514,E,"1,396",C,"1,910",C
,,Truck and bus drivers / Manual labourer with no trade certification,"7,351",C,695,D,"8,047",C
,,Other Occupations,445,E,X,X,X,X
,Telecommunications and broadcasting,All occupations,"89,600",C,"56,400",C,"146,000",C
,,Senior managers,"1,608",B,577,B,"2,184",B
,,Middle and other managers,"7,389",C,"4,590",C,"11,978",C
,,Supervisors,"2,647",C,"1,734",C,"4,382",C
,,Professionals,"22,867",C,"13,827",C,"36,693",C
,,Technical / Trades,"31,028",C,"7,406",D,"38,433",C
,,"Marketing, sales and services","12,472",C,"14,622",C,"27,095",C
,,Clerical / Administrative,"3,907",B,"8,755",B,"12,661",B
,,Truck and bus drivers / Manual labourer with no trade certification,"1,138",E,117,C,"1,255",E
,,Other Occupations,"6,535",B,"4,788",B,"11,320",B
,Other,All occupations,"15,400",B,"14,300",B,"29,700",B
,,Senior managers,X,X,X,X,"1,476",B
,,Middle and other managers,"2,167",C,"1,477",C,"3,644",C
,,Supervisors,384,C,310,C,694,C
,,Professionals,"4,004",B,"3,528",B,"7,533",B
,,Technical / Trades,"1,931",B,"1,043",C,"2,976",B
,,"Marketing, sales and services","3,399",E,"3,406",E,"6,805",E
,,Clerical / Administrative,639,C,"3,055",C,"3,694",C
,,Truck and bus drivers / Manual labourer with no trade certification,855,E,223,E,"1,078",E
,,Other Occupations,X,X,X,X,"1,760",D
1 to 9 employees,All industries,All occupations,"24,000",B,"6,700",C,"30,700",B
,,Senior managers,"5,592",D,795,F,"6,386",D
,,Middle and other managers,473,F,"1,115",F,"1,587",E
,,Supervisors,327,E,203,F,530,F
,,Professionals,385,D,201,F,587,D
,,Technical / Trades,"2,003",F,102,E,"2,104",E
,,"Marketing, sales and services",269,D,242,C,511,C
,,Clerical / Administrative,"1,491",F,"3,163",D,"4,613",D
,,Truck and bus drivers / Manual labourer with no trade certification,"11,233",D,629,F,"11,860",D
,,Other Occupations,"2,274",E,298,C,"2,572",E
,Air transportation,All occupations,"1,200",A,500,B,"1,700",A
,,Senior managers,290,B,74,C,363,B
,,Middle and other managers,80,C,57,D,137,B
,,Supervisors,58,C,13,F,71,C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,348,B,21,E,369,B
,,"Marketing, sales and services",X,X,X,X,29,E
,,Clerical / Administrative,X,X,X,X,241,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,191,C
,,Other Occupations,X,X,X,X,X,X
,Rail transportation,All occupations,...,,...,,...,
,,Senior managers,...,,...,,...,
,,Middle and other managers,...,,...,,...,
,,Supervisors,...,,...,,...,
,,Professionals,...,,...,,...,
,,Technical / Trades,...,,...,,...,
,,"Marketing, sales and services",...,,...,,...,
,,Clerical / Administrative,...,,...,,...,
,,Truck and bus drivers / Manual labourer with no trade certification,...,,...,,...,
,,Other Occupations,...,,...,,...,
,Road transportation,All occupations,"19,700",C,"4,500",D,"24,100",C
,,Senior managers,"4,659",E,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,0,,X,X
,,Clerical / Administrative,"1,253",F,"2,470",E,"3,680",E
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,"10,976",D
,,Other Occupations,X,X,X,X,X,X
,Maritime transportation,All occupations,400,B,200,B,600,B
,,Senior managers,84,B,24,D,108,B
,,Middle and other managers,29,D,22,D,51,C
,,Supervisors,X,X,X,X,36,C
,,Professionals,10,E,0,,10,E
,,Technical / Trades,40,D,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,33,E
,,Clerical / Administrative,20,D,55,C,75,C
,,Truck and bus drivers / Manual labourer with no trade certification,105,C,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Postal and pipelines,All occupations,500,B,300,B,900,A
,,Senior managers,101,B,51,C,152,B
,,Middle and other managers,38,C,15,E,53,C
,,Supervisors,12,E,14,E,26,C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,175,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,X,X,X,X,100,C
,,Senior managers,X,X,5,D,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,0,,0,,0,
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,19,C
,,Truck and bus drivers / Manual labourer with no trade certification,0,,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,"Feed, flour, seed and grain",All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,14,D,3,F,17,C
,,Supervisors,4,E,0,,4,E
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,17,D
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Telecommunications and broadcasting,All occupations,"1,200",A,700,A,"1,900",A
,,Senior managers,235,B,77,C,311,B
,,Middle and other managers,100,C,87,C,187,B
,,Supervisors,X,X,X,X,X,X
,,Professionals,80,D,21,D,102,C
,,Technical / Trades,319,B,46,C,364,B
,,"Marketing, sales and services",X,X,X,X,211,B
,,Clerical / Administrative,65,D,186,B,251,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,160,C,128,C,288,B
,Other,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",0,,0,,0,
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
10 to 14 employees,All industries,All occupations,"10,200",E,"3,200",D,"13,400",E
,,Senior managers,"1,093",F,249,F,"1,341",F
,,Middle and other managers,682,F,231,F,913,F
,,Supervisors,546,F,89,F,634,F
,,Professionals,186,C,74,F,260,C
,,Technical / Trades,617,C,84,F,701,C
,,"Marketing, sales and services",206,F,202,F,408,E
,,Clerical / Administrative,675,F,"1,156",F,"1,830",F
,,Truck and bus drivers / Manual labourer with no trade certification,"3,772",E,319,F,"4,087",E
,,Other Occupations,"2,439",F,777,F,"3,216",F
,Air transportation,All occupations,X,X,X,X,X,X
,,Senior managers,92,B,27,C,119,B
,,Middle and other managers,68,B,34,C,101,B
,,Supervisors,103,B,12,E,114,B
,,Professionals,97,C,9,D,105,C
,,Technical / Trades,229,B,14,C,243,B
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,39,C,126,C,165,C
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,143,C
,,Other Occupations,X,X,X,X,X,X
,Rail transportation,All occupations,X,X,0,,X,X
,,Senior managers,0,,0,,0,
,,Middle and other managers,0,,0,,0,
,,Supervisors,0,,0,,0,
,,Professionals,0,,0,,0,
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",0,,0,,0,
,,Clerical / Administrative,0,,0,,0,
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,0,,X,X
,,Other Occupations,0,,0,,0,
,Road transportation,All occupations,"7,600",F,"2,000",F,"9,600",F
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,0,,0,,0,
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Maritime transportation,All occupations,X,X,X,X,400,B
,,Senior managers,48,C,12,D,60,C
,,Middle and other managers,21,D,9,E,30,D
,,Supervisors,X,X,X,X,24,E
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,26,E,7,F,33,E
,,"Marketing, sales and services",X,X,0,,X,X
,,Clerical / Administrative,X,X,X,X,58,D
,,Truck and bus drivers / Manual labourer with no trade certification,65,D,X,X,X,X
,,Other Occupations,X,X,X,X,69,D
,Postal and pipelines,All occupations,X,X,X,X,X,X
,,Senior managers,22,E,X,X,X,X
,,Middle and other managers,X,X,X,X,19,F
,,Supervisors,X,X,X,X,6,E
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,15,E,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,101,D,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,0,,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,0,,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,0,,0,,0,
,,Other Occupations,0,,0,,0,
,"Feed, flour, seed and grain",All occupations,X,X,X,X,X,X
,,Senior managers,X,X,4,E,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,5,E
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,0,,0,,0,
,Telecommunications and broadcasting,All occupations,600,B,400,B,"1,000",A
,,Senior managers,77,B,41,B,118,B
,,Middle and other managers,57,B,48,B,105,B
,,Supervisors,28,B,23,C,51,B
,,Professionals,30,C,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,40,C,99,B,139,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,166,B
,Other,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",0,,X,X,X,X
,,Clerical / Administrative,0,,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,0,,X,X
,,Other Occupations,0,,X,X,X,X
15 to 49 employees,All industries,All occupations,"30,700",B,"6,800",A,"37,600",B
,,Senior managers,"1,949",A,545,B,"2,494",A
